Título,Comentario,Puntaje
Total thieves,Hosted a guest who left a 5***** review. airbnb claimed they sent payment. Not true.I then received a message to say payments to me had been suspended as I needed to prove my ID by sending a copy of my passport. (I have been a Superhost for 8 years!!)I reluctantly sent a copy of my passport and am still waiting for payment.This is totally illegal and tantamount to fraud. These scumbags even take a cut of the cleaning charge!!Happy to see the Italian govt have fined these a**holes more than €300 million for tax fraud.Parasites thru and thru!,1
USE THIS PLATFORM AT YOUR OWN RISK,"Extremely disappointed with Airbnb.I vacated a property early due to multiple breaches of the listing description and completely unacceptable living conditions. I also notified the host of a medical emergency and a change in financial circumstances. Despite this, she attempted to charge me for the final payment weeks early-outside of Airbnb’s own strict refund policy.I have requested a £1,165 refund for the unused stay from 8 May to 8 June 2025. Despite contacting Airbnb through all the proper channels, my case remains unresolved, and the lack of support has been incredibly frustrating.I’m now sharing this publicly in hopes of finally being taken seriously. Guests deserve better protection and accountability when hosts fail to meet basic standards.",1
"Travellers be warw, huge safety risk","I had a shocking experience with an Airbnb stay in the UK where I was physically trapped inside the property not once, but twice due to a faulty front door latch. The host admitted this “sometimes happens” — which is terrifying. Imagine being unable to leave a building in an emergency.I eventually received a refund, but Airbnb allowed the host to post a false and defamatory review, accusing me of intentionally locking myself in to avoid paying. This is not only absurd — it’s blatant victim-blaming. I requested Airbnb remove the review under their own policies (which prohibit false and retaliatory comments), but they’ve failed to act.Worse still, the property is still listed — meaning other guests could be put at risk. Airbnb talks a big game about guest safety, but my experience shows how easily they let hosts get away with dangerous conditions and dishonest conduct, even when reported.This experience has completely destroyed my trust in Airbnb. I expected a safe place to stay — not to be trapped and publicly defamed.",1
Not there to help,"Especially as a super host, Airbnb boasts that they are always there to help. However, if you actually need their help or support they are useless. Read their own policies over and over again like you are an idiot and new at this. The policies that they create themselves and change every couple months. They act like they can't do anything and that nothing can be done when they can make any changes that they want to but choose not to. Airbnb cares about money, not about their guests or hosts. Hosts are held hostage by reviews. It is a garbage system.",1
On the 6th & 7th may 2025 I wanted to…,"A big Thank You to Shalini ,a truly wonderful lady so helpful !!!I hope her boss gives her a meal ticket or something she can enjoy ! ! !Follow up on the 10th May I received a phone call saying that Airbnb will compensate me,when I book a place and show them a receipt,to be honest they have tried to be helpful but still a major flow which favours the hosits,this needs to be told in the hosits description of the hosits property that high/low season rates may changeOn the 6th & 7th may 2025 I wanted to book a place in Pattaya the one letting tenant did not respond after 24 hours the second one said I was low season rates I wanted 29th November till 24 January 2026.the cash came out of my bank but I have to wait up to 8 days before the £700 goes back into my accountThis is wrong why should I and people be out of pocket? .I had a phone call from a lady after I emailed the CEO of Airbnb but no cash in my bank as yet her phone number 01844 234 2500 but she has not got back to me.My disagreement is you go into a shop buy something but can't get the item you've bought for 8 day's later.Airbnb needs to address this to stop people losing out and waiting for their own cash. Reference numberHMHQZYTMB5HM4ADCRKWQ",4
Dumbest people ever,"I am not a regular user but for a trip with family used them and it has been a nightmare. I made partial payment on a creditcard which I lost. So updated my account with new credit card and called them and advised them. Then wanted to change of the booking but couldn't do anything as my account was connected to old card. I wrote to host and asked to for change so they send me a request for change but guess what, I couldn't accept again as my account was connected to old lost card. I spoke to them but they said they need in writing. so I wrote to them but they said they need in writing from host. then they said you need to make full payment but my payment wasn't due for another month?! Dumbest people with worst system on earth no wonder you don't see any positive feedback on them. I would stay away",1
The Airbnb support is so disappointing…,"The Airbnb support is so disappointing that it's even frustrating.  The fact that there is no continuity between one rep and the next makes the communication so difficult.  Instead of talking to the same person who can keep track of the situation, every time you send a message you get assigned a new person and they don't take the time to fully read and understand what is happening.It has happened to me multiple times as a guest and I now do all I can to avoid booking on Airbnb when travelling.",1
Airbnb terrible experience,"I was a super host for 10 years and today close my account , it's no protection for hosts , many scammers ...stay away",1
"""Prices include all fees"" is their…","""Prices include all fees"" is their latest policy, BUT it does not include taxes so it is not the full price. Once again deceiving us.",1
Discrimination Allowed—No Accountability,"Airbnb allowed a host to cancel our reservation after learning we were bringing an infant. Instead of holding the host accountable, they sided with them—despite clear anti-discrimination rules and federal Fair Housing protections for families with children. After we booked, the host retroactively added misleading language claiming the home wasn’t suitable for children (not having outlet covers… we visit the babies grandparents and they don’t have outlet covers! Our baby isn’t even mobile yet!!)—purely to justify the cancellation. Airbnb support acknowledged the reason was “infant not allowed” but still did nothing. No compensation. No accountability. Deeply unethical and unacceptable. The airbnb is listed as “Cozy Cottage! Champagne on a Beer Budget! Steps2Sand.” The host allows pets but would not allow an infant.",1
Airbnb Host,"I'm a superhost on Airbnb and they have without a doubt the worst customer service.They are lazy, unhelpful, totally useless and don't seem to understand what the issues, problems are.Absolutely terrible.",1
"I stayed for a month—money was stolen, and Airbnb won’t let me leave a review","My wife, baby, and I stayed at an Airbnb in Kuala Lumpur for a month. The host arranged for a cleaner to come weekly. We checked out on April 1, and while packing to leave the country, we discovered cash missing from three different wallets stored in separate places inside the apartment:•	My wallet (in my backpack in the living room) had foreign currencies I’d collected over years—worth ~$100.•	My wife’s wallet (hidden in her bag in the bedroom) had 200 euros, a gift from her sister after our baby was born.•	A change wallet, visible in the living room, had a $5 note with symbolic value.We didn’t use these wallets during the trip—we relied on Apple Pay and credit cards—so we only realized the money was gone when we started packing.No one had access to the unit except the host’s cleaner, who last visited on March 30. We contacted the host—no help. Airbnb support—no help. Then I filed a BBB complaint.Airbnb responded to the BBB multiple times saying I was “working with a specialized support team,” but I had not received a single message. After I followed up again, I was finally contacted over a week later—only to be told to “be patient.”The most frustrating part? Airbnb refuses to let me leave a review because their system only allows 14 days after checkout—even though the theft was only discovered after we left.I’m not asking for a refund—just to share my experience honestly so others can protect themselves. But Airbnb is actively preventing me from doing even that.",1
A complete Joke,"The support system of Airbnb has become a complete joke for hosts... They spam you almost daily to publish your experience, and when you do follow their exact steps, there is not publish button. I tried multiple times to request help from Airbnb support only to get calls from them in random hours, I'd pick up and they'd hang up, or they would respond in the chat with pretty much automatic responses with no regard to the problem. This has been very frustrating, delays and stalls my experience and most of all, wastes a lot of energy by having to focus on all this Airbnb nonsense... This company has become a complete joke.",1
Cancelled,Booked a place for one night in Sunderland. Host cancelled - no explanation given. What gets me is that I cannot leave a review to warn other potential users of this property. You can only do this if the host cancels within 24 hours of check in. Makes me very wary of using Airbnb if they are hiding valuable information like this.,1
"Misleading listing, no Gulf access – Airbnb protects host, not guestI booked a house on Airbnb that was…","I booked a house on Airbnb that was promoted as having “Gulf Access” in Cape Coral. This feature was central to my booking decision, as I had planned to rent a boat. Upon arrival, I found that the canal access had been blocked for months due to construction — something Airbnb and the host were informed about well in advance. This was never disclosed in the listing.Despite clear evidence, Airbnb refused to offer fair compensation and merely issued a token refund of CHF 200. The host took no responsibility, and Airbnb chose to protect the host rather than the guest.This was a classic case of misrepresentation by omission, and it turned my once-a-year holiday into a frustrating experience. I’ve filed a formal complaint through my credit card provider and will never use Airbnb again for travel.",1
Prone to cancellations,"Prone to cancellations by hosts and, it turns out, when this happens, Airbnb penalises the host financially and keeps the money for themselves rather than pass it on to the person who’s been let down. Furthermore, when you make a complaint against a member of staff, that same staff member deals with the complaint themselves. Hardly a transparent process.",1
As a host,"As a host, Airbnb has provided terrible customer service. They don't seem to understand what the topic is as they simply cannot answer simple questions. They keep on repeating lines that are irrelevant, even when multiple agents are involved.Further, they try to call you in the middle of the night, even though when asked to chat with messages.",1
🚨Airbnb Guests Abuse in Le Touquet…,"🚨Airbnb Guests Abuse in Le Touquet (North of France) – Our Family Was Left to Sleep in the Car 🚨This Bank Holiday weekend, my partner, our two young children (5 & 8), and I were left stranded at night in northern France with no access to our Airbnb – despite informing the host of our late arrival.We had booked a 3-night stay at Stella Plage (Le Touquet). Due to school pick-up, London traffic, and Eurotunnel delays, we arrived at 11:30pm instead of 10pm. The host, Rodolphe, had initially agreed to a late check-in and said the agency (Mélanie) would hand over the keys.But when we arrived:❌ Mélanie refused to give us the keys❌ Rodolphe cancelled the booking on the spot❌ They ignored our calls and messages❌ Airbnb couldn’t find us alternative accommodation❌ They suggested we find a hotel ourselves & offered 20% off the first night booking as a gesture of goodwillWe were stranded in the middle of nowhere with everything shut.After calling every possible hotel in the area, we managed to find a hotel 1 hour away.It was 3am by the time.Our kids had to sleep in the car half of the night.This is not just bad service – it’s inhumane.📢 We demand:1️⃣ Full refund of the Airbnb stay2️⃣ Refund of our emergency hotel3️⃣ Refund of the 2 extra nights we had to rebook4️⃣ That Airbnb bans this host from the platform5️⃣ A real emergency support system for familiesAirbnb, this is a disgrace. No one should be treated like this, especially with kids.🙏 Please share this.🚨 Clients Airbnb abandonnés au Touquet – Notre famille obligée de dormir dans la voiture 🚨Ce week-end de pont, ma compagne, nos deux jeunes enfants (5 & 8 ans) et moi avons été laissés à l’abandon en pleine nuit dans le nord de la France, sans accès à notre Airbnb – alors même que nous avions prévenu l’hôte de notre arrivée tardive.Nous avions réservé 3 nuits à Stella Plage (Le Touquet). En raison de la sortie d’école, des bouchons à Londres et de retards à l’Eurotunnel, nous sommes arrivés à 23h30 au lieu de 22h. L’hôte, Rodolphe, avait pourtant confirmé un check-in tardif et indiqué que l’agence (Mélanie) nous remettrait les clés.Mais à notre arrivée :❌ Mélanie a refusé de nous donner les clés❌ Rodolphe a annulé la réservation sur-le-champ❌ Ils ont ignoré tous nos appels et messages❌ Airbnb n’a pas trouvé de logement alternatif❌ Ils nous ont dit de chercher un hôtel nous-mêmes & ont proposé 20% de remise sur la première nuit, en « geste commercial »Nous étions bloqués au milieu de nulle part, tout était fermé. Après avoir appelé tous les hôtels possibles de la région, nous avons trouvé une chambre à plus d’une heure de route. Il était 3h du matin. Nos enfants ont dormi une partie de la nuit dans la voiture.Ce n’est pas un simple mauvais service – c’est inhumain.📢 Nous exigeons :1️⃣ Remboursement intégral de la réservation Airbnb2️⃣ Remboursement de la nuit d’hôtel d’urgence3️⃣ Remboursement des 2 nuits supplémentaires que nous avons dû réserver ailleurs4️⃣ L’interdiction de cet hôte sur la plateforme Airbnb5️⃣ Un vrai dispositif d’aide d’urgence pour les famillesAirbnb, c’est une honte. Personne ne mérite un tel traitement, encore moins avec des enfants.🙏 Merci de partager#AirbnbFail #AirbnbHorrorStory #AirbnbSupportFail #TravelNightmare #FamilyTravel #LeTouquet #StellaPlage #WeekendFromHell #ConsumerRights #VoyageEnFamille #AirbnbFrance #AirbnbAbus #NordPasDeCalais #LeTouquetParisPlage@Airbnb, @Airbnb_fr, @lavoixdunord, @guardiantravel, @CourrierPicard, @bbclondonnews, @dailymail, @MailOnline, @Independent, @itvnews, @SkyNews, @lefigaro, @LeTouquetParisPlage, @PasdeCalaisTourisme, @opaleandco, @enpasdecalais, @lemondefr, @franceinfo, @france3nord",1
"HAPPY HOLIDAYS!!!, NOT WITH AIRBNB","To Airbnb the client is the less important part.Do you know that the terms and conditions never help you?If you have an issue and is under the Airbnb cancellation policies, really not. Finally, depends on the host's decision. Is that Inese from Airbnb told me by phone. She denied informing in a written message. You paid you lose",1
Airbnb is Like Communism-Great in Theory,"I am staying at a disgusting Airbnb right now. I am afraid to leave a negative review when we leave because it is well known that hosts also review guests. If you leave a bad review you will get a bad review. The problem? You don't know you are getting a bad review and cannot defend yourself.There is only a short window of time to leave your review, so they know exactly who left it. There is no anonymity.We paid good money for a whole house with a fenced in yard to stay with our two dogs, which are better behaved than most kids these days, and this place is a dump. Despite contacting the host directly to confirm that the yard is completely fenced in and receiving a confirmation of that fact, as soon as we got here, before even getting in the house, our one dog went behind the garage and around it and freely walked out and took a three hour tour of Erie, PA, including a swim in the bay to chase the ducks and geese.The bay is several miles from the house and he crossed several busy streets. He could have been killed and could possibly have killed or injured people driving who would likely swerve to avoid hitting him and there's nothing funny about that.(And, yes, we did check out the fence before letting him off lead. We couldn't get behind the garage to the other side and it looked to be closed off from our vantage point.)The house is filled with furniture out of Goodwill. Actually the furniture at Goodwill is probably better. They listed minimum rules on the website and then there was a whole list on the fridge when we got here-including taking the garbage out and placing it on the curb the evening we arrived. No, not our garbage. There are holes in the ceilings and the walls that have been patched poorly. There is a big hole in the bedroom ceiling patched with bare plywood.I could go and on, but you get the point. Coffee included. The cheapest possible coffee maker and cheapest possible coffee with dollar store brand creamer. No name shampoo, etc., etc.Never using Airbnb again and calling them when we get home.",1
Worst customer service out there,People you stay with are absolutely brilliant......... Just hope you never have to deal with customer service because they are so far beyond shit at helping I actually don't have words to describe. Real shame to be honest,1
Last 2 bookings have cancelled on us,Last 2 bookings have cancelled on us - leaving us having to find something else at greater cost. Pointless if hosts can just cancel.,1
"Protects TIME WASTING hosts, no support to customers…","The first property I booked for my hen fell through less than 24 hours after booking it, which was not ideal BUT it still gave us plenty of notice to find something else suitable, and the host gave a valid explanation as to why the booking was cancelled.My second airbnb host cancelled less than 24 hours before check in without explanation, when this trip has been booked for months. We were a group of 8 needing space, so unsurprisingly we subsequently couldn't rebook ANYTHING suitable so last minute. When trying to complain and write a review about the awful treatment we received to warn other users, Airbnb ""support"" were completely useless, did not help at all and protected the rubbish host.I'm disappointed that I can't even write a bad review. I had a whole hen weekend of activities booked in bath so needed accommodation in the city and when she cancelled so last minute there was absolutely nothing else available to accommodate 8 people. We needed a space for house/board games to accommodate a pregnant member of the group so going out/hotel was not an option.The host was allowed to cancel without explanation, and I cannot even warn other users against this. It put a huge downer on my hen weekend!!! Especially knowing that if it was us that had cancelled so last minute we would have had to pay a fee! And she just gets away with it.I am so utterly disappointed.I have closed my account. No point of Airbnb offering to send a discount for future bookings when the trip has been and gone, and this whole experience caused so many tears and distress on a weekend that was SUPPOSED to be fun.I will never be booking through Airbnb again. My first and only experience was TERRIBLE.For reference: AVOID THIS HOST/LISTINGRubi-May ""Close2city ✔️garden✔️private parking✔️pets allowed"" house in Bath, on Monksdale Road.",1
Airbnb is a scam,"Airbnb is a scam. I have been a super host for years. I'm reporting an issue, the customer support cancels the issue without any communication. They do not reply and there is no explanation whatsoever.",1
I am a host and I haven’t received my…,"I am a host and I haven’t received my last 3 rental payments from Airbnb and their support can’t give me a straight answer on what is happening- I’m actually livid. I have written multiple messages and all the support staff seem incompetent or are hiding something sinister about the company. They claim they are processing the payments but nothing is arriving in my PayPal account. If the management team sees my comment on here Please get in touch with me to help! One example is HMDBBJN2D5, the guest arrived on 25th April , departed 27 April - still no payment! Absolute incompetence on Airbnb side - HELP ME PLEASE!",1
Bye bye after 15 years. No safe reservations any more,"After 15 years in the platform and 65 complete bookings, i decided to delete my account and cancel 5 upcoming reservations. The reason is that they cancel with no obvious reason a reservation made in November, forcing me me to find a new hotel in double prices with totally no support. Their customer service has become a joke. Your booking is totally insecure, and prepare to pay a lot of money with no support in case of cancellation by them or the host.",1
Not willing to remove hate review on…,Not willing to remove hate review on guesteven after proofing to them that a review was written out of hate against my religion they refused to remove the negative review.,1
Airbnb doesn't support HOSTS,"Airbnb is a corporation that doesn't support their hosts, you can tell that hosts are leaving their platform by each new rule AB implements to try and lock hosts down. Their support SUCKS FOR HOSTS - they will always say the guest is right, even in cases for fraud - I've been pulling listing from the platform and loving the freedom. Don't trust them based on direct experience, how do I give 0 stars?",1
Attempted to make a booking on air b…,"Attempted to make a booking on air b and b. After choosing the location near to us, checking with family etc proceeded to book. AFTER I had paid it takes me through to an identification verification asking for either my driving licence as photo back and front ( something we are told not to do by the DVLA), passport photo or access to my government id.Fine if you let people know before booking but to take their money then ask for this and waste my time cancelling and waiting for a refund.They are not having my id especially when identity theft is a real issue in this day and age. I felt almost held to ransom. Very disappointed.",1
I am deeply disappointed with Airbnb's…,"I am deeply disappointed with Airbnb's disregard for Thailand's laws prohibiting short-term condo rentals. Despite being notified of illegal listings, Airbnb continues to allow these rentals, undermining local regulations and devaluing the interests of property owners. The constant flow of short-term guests disrupts our building's community, with many showing little regard for cleanliness or common property rules. This negligence creates ongoing issues for residents, including mess, noise, and disrespect for shared spaces. Airbnb must take responsibility, enforce compliance with local laws, and prioritize the well-being of property owners and residents.",1
Airbnb supporting Harassment,"-November 2024: Mr. Perez booked an Airbnb stay at Maria's property from November 1st to November 30th. On December 1st, he left a 5-star review upon checkout.-December 2024 – March 2025: Due to his Airbnb account being suspended, Mr. Perez entered into a lodger agreement with Maria for a long-term stay, paying rent monthly.-March 2025: Despite previously leaving a 5-star review, Mr. Perez contacted Airbnb to claim back his November 2024 payment. He also submitted a edited video recorded in March 2025, falsely claiming it was from his November stay. Airbnb removed his original review and subsequently closed Maria’s account without reviewing provided evidence, including lodger agreements and bank statements.-Harassment & Police Involvement: In February 2025, Mr. Perez requested Maria to forgo his February rent due to personal reasons, which she denied. Upon returning in March 2025, his behavior escalated to harassment, leading to police intervention and his removal from the property.-Legal Action:1-Maria intends to pursue legal action against Airbnb for supporting Mr. Perez in staying for free in November 2024 and enabling his refund claim despite clear evidence of his rental payments and agreements.2- will file case of discrimination against her , as her voice was not heard and this leds to further support the harasser.3- Maria called airbnb 5-6 times but she was never given a chance to speak to someone and bring heard4- she provided all evidenced including lodging agreement of Mr Perez stay but this was not even looked at and no response was given to maria on her multiple emails to airbnb",1
Great customer service!,We had a problem recently where one of their hosts was not replying to or confirming our reservation.This meant that we had nowhere to stay and we were on a long distance walk with no transportation.We found alternative accommodation and Airbnb refunded our original fee as well as reimbursing us for the cost difference for the new accommodation as well as the cost of the taxi to get us there. This happened two days ago and the refund was processed the same day.Fantastic customer service!,5
What a rubbish system..a nightmare to…,"What a rubbish system..a nightmare to complete a booking, verify this, verify that, identify yourself, is the actually you...get real guys..!..or girls, I should say, by the looks, this nonsense is a female design..Yes, call me a chauvinist..:))",1
A Heartbreaking Experience with OYO…,"A Heartbreaking Experience with OYO Rooms & Airbnb – A Night No One DeservesWe had booked an OYO room on Stade Street, Kent (CT21 6DT, UK) a week in advance through Airbnb, trusting both brands to deliver a safe and reliable stay. What we experienced was the complete opposite – a night of stress, fear, and abandonment that no human being, especially a pregnant woman, should ever have to endure.Due to traffic and unavoidable delays, we arrived late — around 1:30 AM — only to be told over the phone by someone claiming to be from OYO that we couldn't check in because the hotel only accepts check-ins until 11 PM. We were shocked. We were literally just around the corner, exhausted, and hoping for some rest — especially with my wife being 8 months pregnant.Instead, we were told we had to pay an additional £50 to check in. Reluctantly, I agreed, just wanting to get my wife into a warm bed. But then, after holding the line for 20 minutes, they claimed they couldn't reach the reception — essentially admitting there was no one there. The £50 fee felt like nothing more than a tactic, with no real intention of helping us.I even got out of the car and knocked at the hotel door, hoping someone might respond. No one did. My pregnant wife and I stood helpless on an empty street, in the dead of night, cold and alone.Airbnb was no better. I called them, explained the situation, and they said they would reach out to OYO and get back to us within 30 minutes. No one called. I called again. Nothing. Two major companies that promise safety, comfort, and support failed us completely when we needed them most.We waited outside for nearly two hours — in disbelief, in fear, and in utter emotional exhaustion.What makes it worse is knowing that OYO's founder built his company after he once faced a similar experience, locked out of a hotel himself. That pain inspired him to build a brand that would never let anyone else go through that again. But last night, we went through the exact same pain. Only now, his brand – which started with heart – has become unrecognizable.This was not just poor service. It was a failure of compassion, of duty, and of the very values these companies claim to represent.We will never book with OYO again. And for the first time, we’re questioning our trust in Airbnb too. A place to sleep at night is a basic human need. And on this night, that need was cruelly denied.",1
Airbnb broke a written promise after 10 years of loyalty,"I’ve been an Airbnb guest for over 10 years and have rented a room at 12900 Wedding Drive, Manor, TX for 365 consecutive nights, paying $800/month. During a stay in Mexico City (April 19–20, 2025), I had a poor experience. Airbnb support (Mike) resolved it by issuing a $35 refund and promising a 50% discount coupon for a future reservation — in writing.Later, Airbnb refused to honor the coupon, claiming it was an error. I have a screenshot of the message. They closed the case and denied further support, despite clear written evidence.As a loyal customer who has spent nearly $10,000 over the past year alone, this is incredibly disappointing. Airbnb made a written promise and broke it — this is unethical and unacceptable.I’ve filed complaints with the BBB and the Texas Attorney General. If Airbnb fails to correct this, I will escalate to arbitration.",1
Airbnb Sides with Guest Leaving False Retaliatory Review – Hosts Beware,"I've been a host on Airbnb for over 5 years with consistently excellent reviews and a well-maintained property. Recently, a guest caused considerable damage to my caravan. I submitted a reimbursement request through Airbnb with photographic evidence provided by a professional third-party cleaning team.In response, the guest left a false and retaliatory review, claiming I was rude, that the property was in poor condition, and that I fabricated the damage. None of these issues were mentioned during or immediately after the stay—only after the reimbursement request was submitted.Despite providing Airbnb with clear message history disproving the guest’s claims, they refused to remove the review. Even more disappointing was the rude and abrupt attitude I received from Airbnb support staff on the phone. The senior case manager spoke to me with a ""couldn’t care less"" attitude and offered no valid reason for allowing the review to stand.Airbnb’s Review Policy supposedly prohibits retaliatory or misleading reviews, but in reality, they do not protect their hosts—even when the evidence is clear.Prospective hosts, be warned: Airbnb will not support you when a guest leaves a defamatory or retaliatory review. You're on your own.Update 11th MayDue to my multiple complaints to AirBnB as they wouldn't explain how the guest's review met their policy guidelines in retaliatory content I submitted a subject access request to get to the bottom of it myself. Within a few hours of submitting this request AirBnB removed my listing.I'm now letting through Vrbo and Direct Holiday Homes. Vrbo is 100 times better so I highly recommend any owners switching to Vrbo if you facing issues with AirBnB. Vrbo called me up and talked me through the whole set up of my listing on the phone and I have a dedicated contact I can email at Vrbo if I face any issues. Vrbo also lists your property on all of the Expedia group websites, amazing!",1
My first experience with this company,"My first experience with this company. I booked an apartment for 2 days in Copenhagen. The owner canceled the reservation a few days later without any explanation. We have agreed with the other owner in advance,we paid. But again the reservation was canceled a few days later.  Without giving any reason.Waste of time and money, I don't recommend it...",1
"£31,000 payment demand 10 months in advance and then dreadful support service! is Found the perfect for our holiday…","Found the perfect house for our holiday in Florida for Feb 2026. The booking was for 29 days at a cost of around £30,000. Upon booking the Airbnb system asked for full payment in advance. Yes that's £31,000 in full at least 10 months before the booking date! Of course I was happy to pay a material deposit of 50% but expected to pay the remaining 50% nearer the start date like every other booking I've made with Airbnb. I contacted Customer support who told me it was their policy to demand full payment if the booking is over 28days!!So, I wondered where my £30,000 paid to Airbnb would reside for 10 months and why I should lose out on any interest that such an amount may earn during that 10 month period if it was not sat in Airbnb's bank! I challenged Customer Support again to provide an answers and this is what I got.....""Hello Bernard,Thank you for sharing your thoughts with us.Upholding the policies and standards that protect our community is very important to us. We’ve given your case and its details careful consideration, and we determined that you will having an option to select Pay part pay later option to use the part payment system.We understand that this might not be what you’d hoped for, but we came to this outcome because As you want to make a new reservation you have select pay part pay later options and the system will automatically calculate and inform you the part payment system and the next payment date also and the amount for the first and the another installment.Our review is complete now, and we won’t be able to offer additional support on this case at this time.If you’d like to provide feedback on Airbnb’s policies or your experience, you can do so any time at:airbnbcom/feedbackBest regards,Senior Case Manager.Airbnb Support""Yes, from a nameless ""Senior"" Case Manager. The grammer is dreadful and the reply mostly makes no sense. I had no idea that Airbnb were so bad!! But unfortunately their Trustpilot rating of just 1.5 stars appears very accurate.So, based on my experience, my advise to all would be Airbnb customers is if you can possible book your accommodation with a different, credible agent then do and stay clear of Airbnb!Finally I'm not expecting a response from Airbnb on here. I'm afraid they simply do not care enough.",1
refund promise refund promise broken – Airbnb leaves host stranded,"I’ve been a reliable and well-rated Airbnb host for years. On Easter Sunday, a guest asked to check in much earlier than allowed. I clearly confirmed the regular check-in time (3pm) via Airbnb messages.Despite this, the guest canceled. Shortly afterward, an Airbnb support agent called me directly and told me I’d receive a full payout if I agreed not to rebook the apartment for that period. I agreed – and I kept the place blocked.Now, weeks later, I’m told I won’t be paid because I was “unreachable.”That is simply untrue. I responded via Airbnb AND WhatsApp. I have full proof of communication.I’ve requested escalation to a case manager or supervisor multiple times – no response, just generic replies.This is a breach of trust and a broken verbal agreement from Airbnb’s side.As a host, I feel abandoned and misled – despite having done everything right.I hope Airbnb will take responsibility and provide a resolution. If not, I will escalate this case further – legally and publicly.If anyone has had similar experiences with Airbnb, feel free to reach out. I’m open to exchange and potential collective action.",1
Awful Customer Support – Completely Unreliable in Critical Situations,"I’ve had two deeply disappointing and unacceptable experiences with Airbnb’s customer support that have completely destroyed my trust in the platform.The first situation occurred during a trip to Morocco. The listing I had booked turned out to be a nightmare — there was no Wi-Fi as advertised, ongoing noisy reconstruction work, and the place was extremely dirty. I couldn’t stay there, so I contacted Airbnb support expecting help. Instead, I was passed from one representative to another in endless back-to-back calls that lasted the entire day. They kept “looking into it” but never actually did anything. I was left without a place to stay in the middle of the night. No emergency listing. No help. Just exhaustion, stress, and frustration. This alone was enough to make me question the reliability of the platform.The second experience was even more disturbing. I recently reported a host who replied to guest reviews with racist comments — a clear violation of Airbnb’s policies. In addition, I experienced serious health issues and even personal attacks during my stay, all of which I documented in detail and submitted to Airbnb. Despite this, they didn’t take any action for two days. Their only response was to repeatedly ask me vague questions like “How can we assist you?” even though I had already provided detailed context and documentation. They have access to the full chat history, know exactly what happened, and yet chose to delay and ignore rather than act.Airbnb clearly has the tools and data to respond quickly, but instead chooses to stall and deflect. This isn’t just poor customer service — it’s outright negligence, especially when guest safety and well-being are at stake.I will never use Airbnb again. There are alternative platforms out there with responsive and responsible support teams. If you’re tempted by slightly cheaper listings, remember that you’re also gambling with your safety and peace of mind. For me, it’s simply not worth the risk.",1
My friend and I booked a property in…,"My friend and I booked a property in Morocco through Airbnb for seven nights. On the fourth night, after inviting guests over, we were harassed and threatened by individuals claiming to be related to high-ranking authorities. They demanded we remove our guests due to the proximity of a mosque. When we refused, we were warned of serious consequences.Fearing for our safety, we were forced to leave the property the following morning. Despite reporting the incident to Airbnb and requesting a refund for the remaining nights, our request was denied — and my account was unfairly suspended without clear explanation.We were the ones placed in a threatening and unsafe situation, yet Airbnb offered no real support or protection. This was a deeply distressing experience, and I expected better from a platform that claims to prioritize guest safety.",1
Airbnb lets host down,"we have hosted on airbnb for almost 9 years and have 4.95, superhost rating. Yet a guest recently claimed the accommodation was ""unacceptable"" supported by photos of hard water stains in the kettle and shower. This enabled them to escape their 1 week booking commitment and get full refund - and at 8.30pm they clearly had alternative (probably with family) accommodation ready. Airbnb's handling was aggressive, citing that there would be ""consequences"" if we didnt refund despite years of delighted guests.",3
Stolen land,This corrupt American corporation provides rentals on land stolen by criminal israeli settlers who stole palestinian land. Utterly shameless. Don't fuel the genocide,1
Airbnb Sided With a Host Who Submitted Fraudulent Evidence – Serious Security Risk,"Me and my wife booked a place downtown through Airbnb that looked fine in the pictures. The host was responsive, but when we arrived, we were shocked by the condition: dust all over appliances, food stains embedded into furniture, and even leftover food on the countertops. We paid a cleaning fee, yet the host suggested sending a cleaner during our stay, which we refused—why should we be inconvenienced for a mistake that should never have happened?We took photos and left a fair 4-star review (despite the condition) because the host was new to Airbnb. In return, we were accused of extortion—the host submitted doctored, fraudulent evidence claiming we demanded money to delete our review. This was completely false. We had zero communication with the host outside of Airbnb, and we have full proof of this.Airbnb accepted the fraudulent evidence without verifying it. Even worse, they confirmed the alleged conversation happened outside their platform, raising a terrifying question: How did the host get our private phone number? Airbnb is supposed to protect guest information, yet our number was clearly accessed, spoofed, or worse—used to fabricate a false narrative against us.Despite our repeated attempts to provide evidence disproving the host’s claims, Airbnb refused to help and took the host’s side. They dismissed our concerns, ignored the potential identity theft, and essentially allowed a host to get away with criminal activity.This is not just about a bad stay—this is about Airbnb enabling fraud, negligence, and security violations. If a host can forge evidence and Airbnb doesn’t have the tools or willingness to detect that, EVERY guest is at risk.The host’s name: Sk Ali. Be warned—there may be more like him. Airbnb clearly does not do forensic verification of screenshots or claims, and they clearly don’t have a proper security or fraud investigation team.Airbnb is failing to protect its guests. If you've been affected by a similar situation, speak up. This platform is not safe.",1
